period,alarm_id,timestamp,asset_code,priority
baseline,BA00001,2026-01-17 15:00:00,P-05,HIGH
baseline,BA00002,2026-01-03 07:15:00,P-06,HIGH
baseline,BA00003,2026-01-07 20:52:00,CH-03,HIGH
baseline,BA00004,2026-01-09 05:47:00,CH-02,HIGH
baseline,BA00005,2026-01-01 10:31:00,CH-02,HIGH
baseline,BA00006,2026-01-01 08:50:00,CH-03,MEDIUM
baseline,BA00007,2026-01-09 04:22:00,P-05,HIGH
baseline,BA00008,2026-01-25 00:56:00,P-03,HIGH
baseline,BA00009,2026-01-04 17:42:00,P-06,HIGH
baseline,BA00010,2026-01-29 02:29:00,CH-02,HIGH
baseline,BA00011,2026-01-04 00:40:00,CH-03,MEDIUM
baseline,BA00012,2026-01-28 05:54:00,P-06,HIGH
baseline,BA00013,2026-01-04 08:12:00,P-02,MEDIUM
baseline,BA00014,2026-01-13 01:14:00,P-05,MEDIUM
baseline,BA00015,2026-01-16 01:57:00,P-05,MEDIUM
baseline,BA00016,2026-01-12 04:17:00,P-02,MEDIUM
baseline,BA00017,2026-01-22 10:38:00,P-02,MEDIUM
baseline,BA00018,2026-01-25 05:51:00,P-05,HIGH
baseline,BA00019,2026-01-30 04:22:00,P-03,HIGH
baseline,BA00020,2026-01-22 14:43:00,P-02,MEDIUM
baseline,BA00021,2026-01-29 13:20:00,CH-02,MEDIUM
baseline,BA00022,2026-01-11 04:20:00,P-06,HIGH
baseline,BA00023,2026-01-02 11:37:00,CH-03,HIGH
baseline,BA00024,2026-01-13 14:14:00,CH-01,MEDIUM
baseline,BA00025,2026-01-26 01:43:00,CH-01,HIGH
baseline,BA00026,2026-01-26 11:52:00,P-03,HIGH
baseline,BA00027,2026-01-23 02:19:00,P-04,HIGH
baseline,BA00028,2026-01-17 22:37:00,P-06,MEDIUM
baseline,BA00029,2026-01-06 13:33:00,P-06,MEDIUM
baseline,BA00030,2026-01-26 21:22:00,CH-02,HIGH
baseline,BA00031,2026-01-28 11:24:00,P-01,HIGH
baseline,BA00032,2026-01-21 03:55:00,P-05,MEDIUM
baseline,BA00033,2026-01-21 12:54:00,P-05,MEDIUM
baseline,BA00034,2026-01-10 16:15:00,P-04,HIGH
baseline,BA00035,2026-01-10 08:24:00,P-02,MEDIUM
baseline,BA00036,2026-01-10 13:22:00,P-06,MEDIUM
baseline,BA00037,2026-01-17 10:23:00,CH-02,HIGH
baseline,BA00038,2026-01-27 14:05:00,P-04,HIGH
baseline,BA00039,2026-01-25 11:42:00,P-01,HIGH
baseline,BA00040,2026-01-22 09:13:00,P-02,HIGH
baseline,BA00041,2026-01-28 07:02:00,P-05,MEDIUM
baseline,BA00042,2026-01-03 11:07:00,CH-03,HIGH
baseline,BA00043,2026-01-02 23:38:00,P-02,HIGH
baseline,BA00044,2026-01-10 00:41:00,P-03,MEDIUM
baseline,BA00045,2026-01-01 11:55:00,P-03,MEDIUM
baseline,BA00046,2026-01-23 11:29:00,P-05,MEDIUM
baseline,BA00047,2026-01-23 00:49:00,P-04,HIGH
baseline,BA00048,2026-01-04 08:40:00,P-01,HIGH
baseline,BA00049,2026-01-22 18:05:00,P-05,HIGH
baseline,BA00050,2026-01-24 12:30:00,CH-03,MEDIUM
baseline,BA00051,2026-01-09 09:59:00,P-02,HIGH
baseline,BA00052,2026-01-25 07:53:00,P-03,HIGH
baseline,BA00053,2026-01-23 12:15:00,CH-02,HIGH
baseline,BA00054,2026-01-08 15:35:00,CH-03,MEDIUM
baseline,BA00055,2026-01-06 02:57:00,P-04,HIGH
baseline,BA00056,2026-01-31 05:42:00,CH-01,HIGH
baseline,BA00057,2026-01-16 22:56:00,CH-03,MEDIUM
baseline,BA00058,2026-01-28 14:28:00,P-04,HIGH
baseline,BA00059,2026-01-17 09:36:00,CH-01,HIGH
baseline,BA00060,2026-01-15 16:29:00,CH-01,HIGH
baseline,BA00061,2026-01-12 10:12:00,P-05,HIGH
baseline,BA00062,2026-01-26 08:25:00,P-04,HIGH
baseline,BA00063,2026-01-07 15:55:00,CH-01,MEDIUM
baseline,BA00064,2026-01-12 21:31:00,P-02,MEDIUM
baseline,BA00065,2026-02-24 07:51:00,P-04,HIGH
baseline,BA00066,2026-02-18 06:55:00,P-04,HIGH
baseline,BA00067,2026-02-17 09:25:00,P-04,HIGH
baseline,BA00068,2026-02-25 14:09:00,P-01,HIGH
baseline,BA00069,2026-02-11 04:35:00,P-01,HIGH
baseline,BA00070,2026-02-23 23:05:00,CH-02,HIGH
baseline,BA00071,2026-02-26 01:27:00,P-02,HIGH
baseline,BA00072,2026-02-27 13:29:00,P-02,HIGH
baseline,BA00073,2026-02-26 17:11:00,CH-01,HIGH
baseline,BA00074,2026-02-24 19:43:00,P-03,MEDIUM
baseline,BA00075,2026-02-27 17:46:00,CH-02,MEDIUM
baseline,BA00076,2026-02-06 15:14:00,CH-01,MEDIUM
baseline,BA00077,2026-02-12 21:00:00,P-04,HIGH
baseline,BA00078,2026-02-18 07:21:00,P-05,HIGH
baseline,BA00079,2026-02-13 12:39:00,P-02,MEDIUM
baseline,BA00080,2026-02-19 11:29:00,P-06,HIGH
baseline,BA00081,2026-02-18 07:47:00,CH-03,HIGH
baseline,BA00082,2026-02-24 12:39:00,P-05,HIGH
baseline,BA00083,2026-02-13 10:49:00,CH-03,HIGH
baseline,BA00084,2026-02-05 20:33:00,CH-01,HIGH
baseline,BA00085,2026-02-19 11:38:00,CH-03,MEDIUM
baseline,BA00086,2026-02-20 17:44:00,P-06,MEDIUM
baseline,BA00087,2026-02-16 15:25:00,P-03,MEDIUM
baseline,BA00088,2026-02-10 19:31:00,P-01,HIGH
