period,timestamp,available_chillers,available_cooling_capacity_kw,required_cooling_capacity_kw,capacity_margin_kw,service_available,redundancy_state
baseline,2026-01-01 00:00:00,3,1200,612.55,587.45,True,N+1
baseline,2026-01-01 00:15:00,3,1200,615.72,584.28,True,N+1
baseline,2026-01-01 00:30:00,3,1200,578.45,621.55,True,N+1
baseline,2026-01-01 00:45:00,3,1200,639.25,560.75,True,N+1
baseline,2026-01-01 01:00:00,3,1200,652.92,547.08,True,N+1
baseline,2026-01-01 01:15:00,3,1200,604.81,595.19,True,N+1
baseline,2026-01-01 01:30:00,3,1200,649.28,550.72,True,N+1
baseline,2026-01-01 01:45:00,3,1200,627.43,572.57,True,N+1
baseline,2026-01-01 02:00:00,3,1200,592.36,607.64,True,N+1
baseline,2026-01-01 02:15:00,3,1200,629.87,570.13,True,N+1
baseline,2026-01-01 02:30:00,3,1200,639.09,560.91,True,N+1
baseline,2026-01-01 02:45:00,3,1200,593.78,606.22,True,N+1
baseline,2026-01-01 03:00:00,3,1200,594.54,605.46,True,N+1
baseline,2026-01-01 03:15:00,3,1200,618.81,581.19,True,N+1
baseline,2026-01-01 03:30:00,3,1200,628.43,571.57,True,N+1
baseline,2026-01-01 03:45:00,3,1200,629.5,570.5,True,N+1
baseline,2026-01-01 04:00:00,3,1200,570.35,629.65,True,N+1
baseline,2026-01-01 04:15:00,3,1200,688.88,511.12,True,N+1
baseline,2026-01-01 04:30:00,3,1200,622.56,577.44,True,N+1
baseline,2026-01-01 04:45:00,3,1200,706.7,493.29999999999995,True,N+1
baseline,2026-01-01 05:00:00,3,1200,683.31,516.69,True,N+1
baseline,2026-01-01 05:15:00,3,1200,624.56,575.44,True,N+1
baseline,2026-01-01 05:30:00,3,1200,690.76,509.24,True,N+1
baseline,2026-01-01 05:45:00,3,1200,685.8,514.2,True,N+1
baseline,2026-01-01 06:00:00,3,1200,664.73,535.27,True,N+1
baseline,2026-01-01 06:15:00,3,1200,678.39,521.61,True,N+1
baseline,2026-01-01 06:30:00,3,1200,655.14,544.86,True,N+1
baseline,2026-01-01 06:45:00,3,1200,659.18,540.82,True,N+1
baseline,2026-01-01 07:00:00,3,1200,651.13,548.87,True,N+1
baseline,2026-01-01 07:15:00,3,1200,677.76,522.24,True,N+1
baseline,2026-01-01 07:30:00,3,1200,642.44,557.56,True,N+1
baseline,2026-01-01 07:45:00,3,1200,686.98,513.02,True,N+1
baseline,2026-01-01 08:00:00,3,1200,714.86,485.14,True,N+1
baseline,2026-01-01 08:15:00,3,1200,656.84,543.16,True,N+1
baseline,2026-01-01 08:30:00,3,1200,690.38,509.62,True,N+1
baseline,2026-01-01 08:45:00,3,1200,663.15,536.85,True,N+1
baseline,2026-01-01 09:00:00,3,1200,722.79,477.21000000000004,True,N+1
baseline,2026-01-01 09:15:00,3,1200,703.56,496.44000000000005,True,N+1
baseline,2026-01-01 09:30:00,3,1200,687.43,512.57,True,N+1
baseline,2026-01-01 09:45:00,3,1200,688.22,511.78,True,N+1
baseline,2026-01-01 10:00:00,3,1200,688.54,511.46000000000004,True,N+1
baseline,2026-01-01 10:15:00,3,1200,692.57,507.42999999999995,True,N+1
baseline,2026-01-01 10:30:00,3,1200,729.54,470.46000000000004,True,N+1
baseline,2026-01-01 10:45:00,3,1200,734.05,465.95000000000005,True,N+1
baseline,2026-01-01 11:00:00,3,1200,729.0,471.0,True,N+1
baseline,2026-01-01 11:15:00,3,1200,720.8,479.20000000000005,True,N+1
baseline,2026-01-01 11:30:00,3,1200,701.37,498.63,True,N+1
baseline,2026-01-01 11:45:00,3,1200,740.37,459.63,True,N+1
baseline,2026-01-01 12:00:00,3,1200,718.38,481.62,True,N+1
baseline,2026-01-01 12:15:00,3,1200,722.76,477.24,True,N+1
baseline,2026-01-01 12:30:00,3,1200,713.77,486.23,True,N+1
baseline,2026-01-01 12:45:00,3,1200,723.32,476.67999999999995,True,N+1
baseline,2026-01-01 13:00:00,3,1200,753.11,446.89,True,N+1
baseline,2026-01-01 13:15:00,3,1200,776.94,423.05999999999995,True,N+1
baseline,2026-01-01 13:30:00,3,1200,720.19,479.80999999999995,True,N+1
baseline,2026-01-01 13:45:00,3,1200,749.78,450.22,True,N+1
baseline,2026-01-01 14:00:00,3,1200,766.19,433.80999999999995,True,N+1
baseline,2026-01-01 14:15:00,3,1200,702.84,497.15999999999997,True,N+1
baseline,2026-01-01 14:30:00,3,1200,752.23,447.77,True,N+1
baseline,2026-01-01 14:45:00,3,1200,758.94,441.05999999999995,True,N+1
baseline,2026-01-01 15:00:00,3,1200,764.02,435.98,True,N+1
baseline,2026-01-01 15:15:00,3,1200,715.17,484.83000000000004,True,N+1
baseline,2026-01-01 15:30:00,3,1200,719.67,480.33000000000004,True,N+1
baseline,2026-01-01 15:45:00,3,1200,672.31,527.69,True,N+1
baseline,2026-01-01 16:00:00,3,1200,733.33,466.66999999999996,True,N+1
baseline,2026-01-01 16:15:00,3,1200,719.13,480.87,True,N+1
baseline,2026-01-01 16:30:00,3,1200,667.79,532.21,True,N+1
baseline,2026-01-01 16:45:00,3,1200,748.26,451.74,True,N+1
baseline,2026-01-01 17:00:00,3,1200,694.08,505.91999999999996,True,N+1
baseline,2026-01-01 17:15:00,3,1200,689.47,510.53,True,N+1
baseline,2026-01-01 17:30:00,3,1200,702.62,497.38,True,N+1
baseline,2026-01-01 17:45:00,3,1200,705.27,494.73,True,N+1
baseline,2026-01-01 18:00:00,3,1200,729.36,470.64,True,N+1
baseline,2026-01-01 18:15:00,3,1200,667.77,532.23,True,N+1
baseline,2026-01-01 18:30:00,3,1200,711.58,488.41999999999996,True,N+1
baseline,2026-01-01 18:45:00,3,1200,672.24,527.76,True,N+1
