period,failure_id,asset_code,start_timestamp,end_timestamp,downtime_hours,repair_hours,failure_mode
baseline,BF0001,CH-02,2026-01-10 00:31:00,2026-01-10 09:20:00.039620171,8.82,6.91,control
baseline,BF0002,P-06,2026-04-12 15:03:00,2026-04-13 20:11:14.014619277,29.14,26.62,bearing
baseline,BF0003,P-02,2026-04-26 16:13:00,2026-04-26 22:41:18.538068106,6.47,5.6,sensor
baseline,BF0004,CH-03,2026-05-25 05:48:00,2026-05-25 11:14:34.188538037,5.44,3.34,control
baseline,BF0005,P-04,2026-06-27 18:58:00,2026-06-28 07:53:11.115996533,12.92,9.39,electrical
baseline,BF0006,CH-01,2026-06-28 11:48:00,2026-06-29 00:23:31.391658801,12.59,10.64,bearing
baseline,BF0007,P-02,2026-07-03 06:58:00,2026-07-03 13:11:13.548505412,6.22,4.75,flow
baseline,BF0008,CH-02,2026-07-27 04:43:00,2026-07-27 14:41:02.539308019,9.97,6.72,electrical
baseline,BF0009,CH-02,2026-08-17 14:54:00,2026-08-17 18:52:05.625005897,3.97,3.27,electrical
baseline,BF0010,CH-01,2026-10-10 16:55:00,2026-10-10 22:03:40.643071279,5.14,4.7,sensor
baseline,BF0011,CH-01,2026-10-17 18:07:00,2026-10-18 01:43:55.738360102,7.62,5.53,electrical
baseline,BF0012,CH-01,2026-10-21 13:59:00,2026-10-21 21:57:17.626171425,7.97,5.46,flow
baseline,BF0013,CH-03,2026-12-07 13:33:00,2026-12-07 19:01:34.365835492,5.48,3.68,bearing
post,PF0001,CH-03,2027-09-27 19:40:00,2027-09-27 22:47:18.642380916,3.12,2.03,control
post,PF0002,CH-02,2027-12-18 11:18:00,2027-12-18 14:27:36.988376320,3.16,2.12,bearing
post,PF0003,CH-01,2028-05-10 00:59:00,2028-05-10 06:11:35.545603755,5.21,3.38,control
post,PF0004,CH-01,2028-08-03 01:18:00,2028-08-03 05:01:46.973271238,3.73,2.71,bearing
post,PF0005,P-02,2028-08-31 18:10:00,2028-08-31 23:01:43.092073268,4.86,3.8,sensor
