period,work_order_id,asset_code,planned_date,completed_date,completed
baseline,BPM0001,CH-01,2026-01-18,2026-01-20,True
baseline,BPM0002,CH-02,2026-01-04,2026-01-07,True
baseline,BPM0003,CH-03,2026-01-08,2026-01-10,True
baseline,BPM0004,P-01,2026-01-15,2026-01-17,True
baseline,BPM0005,P-02,2026-01-19,2026-01-19,True
baseline,BPM0006,P-03,2026-01-01,,False
baseline,BPM0007,CH-01,2026-02-13,2026-02-17,True
baseline,BPM0008,CH-02,2026-02-17,2026-02-23,True
baseline,BPM0009,CH-03,2026-02-09,2026-02-10,True
baseline,BPM0010,P-01,2026-02-07,,False
baseline,BPM0011,P-02,2026-02-03,,False
baseline,BPM0012,P-03,2026-02-18,,False
baseline,BPM0013,CH-01,2026-03-20,2026-03-22,True
baseline,BPM0014,CH-02,2026-03-13,2026-03-15,True
baseline,BPM0015,CH-03,2026-03-17,,False
baseline,BPM0016,P-01,2026-03-05,2026-03-06,True
baseline,BPM0017,P-02,2026-03-07,2026-03-11,True
baseline,BPM0018,P-03,2026-03-10,2026-03-11,True
baseline,BPM0019,CH-01,2026-04-01,2026-04-05,True
baseline,BPM0020,CH-02,2026-04-01,2026-04-04,True
baseline,BPM0021,CH-03,2026-04-10,2026-04-16,True
baseline,BPM0022,P-01,2026-04-08,2026-04-08,True
baseline,BPM0023,P-02,2026-04-06,2026-04-12,True
baseline,BPM0024,P-03,2026-04-12,2026-04-13,True
baseline,BPM0025,CH-01,2026-05-17,,False
baseline,BPM0026,CH-02,2026-05-10,,False
baseline,BPM0027,CH-03,2026-05-17,2026-05-21,True
baseline,BPM0028,P-01,2026-05-12,2026-05-17,True
baseline,BPM0029,P-02,2026-05-01,2026-05-02,True
baseline,BPM0030,P-03,2026-05-19,2026-05-25,True
baseline,BPM0031,CH-01,2026-06-20,2026-06-26,True
baseline,BPM0032,CH-02,2026-06-12,2026-06-13,True
baseline,BPM0033,CH-03,2026-06-13,2026-06-15,True
baseline,BPM0034,P-01,2026-06-13,,False
baseline,BPM0035,P-02,2026-06-20,2026-06-26,True
baseline,BPM0036,P-03,2026-06-15,,False
baseline,BPM0037,CH-01,2026-07-19,2026-07-19,True
baseline,BPM0038,CH-02,2026-07-04,,False
baseline,BPM0039,CH-03,2026-07-17,2026-07-22,True
baseline,BPM0040,P-01,2026-07-05,,False
baseline,BPM0041,P-02,2026-07-01,2026-07-04,True
baseline,BPM0042,P-03,2026-07-19,2026-07-24,True
baseline,BPM0043,CH-01,2026-08-05,2026-08-12,True
baseline,BPM0044,CH-02,2026-08-19,,False
baseline,BPM0045,CH-03,2026-08-05,2026-08-06,True
baseline,BPM0046,P-01,2026-08-01,,False
baseline,BPM0047,P-02,2026-08-18,2026-08-22,True
baseline,BPM0048,P-03,2026-08-01,2026-08-03,True
baseline,BPM0049,CH-01,2026-09-10,2026-09-12,True
baseline,BPM0050,CH-02,2026-09-12,2026-09-16,True
baseline,BPM0051,CH-03,2026-09-08,,False
baseline,BPM0052,P-01,2026-09-03,2026-09-09,True
baseline,BPM0053,P-02,2026-09-14,,False
baseline,BPM0054,P-03,2026-09-18,2026-09-19,True
baseline,BPM0055,CH-01,2026-10-06,,False
baseline,BPM0056,CH-02,2026-10-15,2026-10-20,True
baseline,BPM0057,CH-03,2026-10-08,2026-10-09,True
baseline,BPM0058,P-01,2026-10-13,,False
baseline,BPM0059,P-02,2026-10-04,2026-10-05,True
baseline,BPM0060,P-03,2026-10-01,2026-10-06,True
baseline,BPM0061,CH-01,2026-11-17,2026-11-22,True
baseline,BPM0062,CH-02,2026-11-06,2026-11-11,True
baseline,BPM0063,CH-03,2026-11-02,2026-11-08,True
baseline,BPM0064,P-01,2026-11-04,2026-11-05,True
baseline,BPM0065,P-02,2026-11-20,,False
baseline,BPM0066,P-03,2026-11-02,,False
baseline,BPM0067,CH-01,2026-12-18,2026-12-25,True
baseline,BPM0068,CH-02,2026-12-20,2026-12-23,True
baseline,BPM0069,CH-03,2026-12-14,,False
baseline,BPM0070,P-01,2026-12-18,2026-12-20,True
baseline,BPM0071,P-02,2026-12-10,2026-12-14,True
baseline,BPM0072,P-03,2026-12-03,2026-12-04,True
post,PPM0001,CH-01,2027-09-20,2027-09-27,True
post,PPM0002,CH-02,2027-09-17,2027-09-19,True
post,PPM0003,CH-03,2027-09-01,2027-09-03,True
post,PPM0004,P-01,2027-09-15,2027-09-15,True
post,PPM0005,P-02,2027-09-12,2027-09-13,True
post,PPM0006,P-03,2027-09-08,2027-09-12,True
post,PPM0007,CH-01,2027-10-17,2027-10-19,True
post,PPM0008,CH-02,2027-10-02,2027-10-04,True
post,PPM0009,CH-03,2027-10-04,2027-10-11,True
post,PPM0010,P-01,2027-10-02,2027-10-09,True
post,PPM0011,P-02,2027-10-01,2027-10-02,True
post,PPM0012,P-03,2027-10-07,2027-10-11,True
post,PPM0013,CH-01,2027-11-06,2027-11-13,True
post,PPM0014,CH-02,2027-11-14,2027-11-20,True
post,PPM0015,CH-03,2027-11-01,2027-11-04,True
post,PPM0016,P-01,2027-11-17,2027-11-24,True
post,PPM0017,P-02,2027-11-14,2027-11-16,True
post,PPM0018,P-03,2027-11-12,2027-11-15,True
post,PPM0019,CH-01,2027-12-01,2027-12-03,True
post,PPM0020,CH-02,2027-12-02,2027-12-08,True
post,PPM0021,CH-03,2027-12-07,2027-12-09,True
post,PPM0022,P-01,2027-12-18,2027-12-22,True
post,PPM0023,P-02,2027-12-06,2027-12-07,True
post,PPM0024,P-03,2027-12-20,2027-12-22,True
post,PPM0025,CH-01,2028-01-08,2028-01-12,True
