period,month,energy_cost_eur,labor_cost_eur,parts_cost_eur,emergency_parts_cost_eur,service_contract_cost_eur,total_om_cost_eur
baseline,2026-01,23326.07,1319.88,1270.14,0.0,8500.0,34416.09
baseline,2026-02,22531.96,510.0,0.0,0.0,8500.0,31541.96
baseline,2026-03,26259.81,850.0,0.0,0.0,8500.0,35609.81
baseline,2026-04,25941.09,3210.96,1220.52,0.0,8500.0,38872.57
baseline,2026-05,26553.73,907.12,1129.51,0.0,8500.0,37090.36
baseline,2026-06,24717.65,2042.04,7546.19,2641.17,8500.0,45447.04
baseline,2026-07,23906.0,1459.96,2831.33,990.97,8500.0,37688.25
baseline,2026-08,22213.36,902.36,4742.34,1659.82,8500.0,38017.89
baseline,2026-09,20259.67,680.0,0.0,0.0,8500.0,29439.67
baseline,2026-10,20290.08,1746.92,4958.17,0.0,8500.0,35495.17
baseline,2026-11,19948.03,680.0,0.0,0.0,8500.0,29128.03
baseline,2026-12,21707.69,1100.24,1020.76,357.26,8500.0,32685.95
post,2027-09,16942.42,1158.04,1435.84,502.55,8500.0,28538.85
post,2027-10,17016.51,1020.0,0.0,0.0,8500.0,26536.51
post,2027-11,16721.36,1020.0,0.0,0.0,8500.0,26241.36
post,2027-12,18160.51,1164.16,1010.87,0.0,8500.0,28835.54
post,2028-01,19520.69,1020.0,0.0,0.0,8500.0,29040.69
post,2028-02,19521.71,1020.0,0.0,0.0,8500.0,29041.71
post,2028-03,21935.45,1020.0,0.0,0.0,8500.0,31455.45
post,2028-04,21738.33,1020.0,0.0,0.0,8500.0,31258.33
post,2028-05,22170.32,1249.84,1458.54,0.0,8500.0,33378.7
post,2028-06,20569.41,1020.0,0.0,0.0,8500.0,30089.41
post,2028-07,19911.98,1020.0,0.0,0.0,8500.0,29431.98
post,2028-08,18513.09,1292.68,5770.54,0.0,8500.0,34076.31
