period,timestamp,it_load_kw,cooling_demand_kw,cooling_energy_kwh,cooling_electrical_power_kw,cooling_electrical_energy_kwh,cop,facility_power_kw,facility_energy_kwh,it_energy_kwh,pue
baseline,2026-01-01 00:00:00,552.55,587.55,146.888,216.0,54.0,2.7201,878.42,219.605,138.138,1.5897
baseline,2026-01-01 00:15:00,555.72,590.72,147.681,209.77,52.443,2.816,875.5,218.875,138.931,1.5754
baseline,2026-01-01 00:15:00,555.72,590.72,147.681,209.77,52.443,2.816,875.5,218.875,138.931,1.5754
baseline,2026-01-01 00:30:00,518.45,553.45,138.363,184.73,46.183,2.9959,811.51,202.878,129.613,1.5653
baseline,2026-01-01 00:45:00,579.25,614.25,153.561,202.65,50.662,3.0311,892.96,223.24,144.811,1.5416
baseline,2026-01-01 01:00:00,592.92,627.92,156.979,228.08,57.02,2.7531,932.68,233.169,148.229,1.573
baseline,2026-01-01 01:15:00,544.81,579.81,144.952,206.17,51.543,2.8123,860.5,215.124,136.202,1.5794
baseline,2026-01-01 01:30:00,589.28,624.28,156.071,213.15,53.287,2.9289,913.95,228.487,147.321,1.551
baseline,2026-01-01 01:45:00,567.43,602.43,150.606,221.41,55.353,2.7208,899.37,224.843,141.856,1.585
baseline,2026-01-01 02:00:00,532.36,567.36,141.841,197.46,49.365,2.8733,838.78,209.694,133.091,1.5756
baseline,2026-01-01 02:15:00,569.87,604.87,151.219,208.66,52.165,2.8988,889.18,222.295,142.469,1.5603
baseline,2026-01-01 02:30:00,579.09,614.09,153.523,209.87,52.468,2.926,900.02,225.006,144.773,1.5542
baseline,2026-01-01 02:45:00,533.78,568.78,142.194,219.96,54.989,2.5859,862.75,215.688,133.444,1.6163
baseline,2026-01-01 03:00:00,534.54,569.54,142.384,192.91,48.227,2.9524,836.5,209.125,133.634,1.5649
baseline,2026-01-01 03:15:00,558.81,593.81,148.452,201.66,50.415,2.9446,870.61,217.653,139.702,1.558
baseline,2026-01-01 03:30:00,568.43,603.43,150.858,213.46,53.366,2.8269,892.47,223.118,142.108,1.5701
baseline,2026-01-01 03:45:00,569.5,604.5,151.125,230.14,57.536,2.6266,910.27,227.568,142.375,1.5984
baseline,2026-01-01 04:00:00,510.35,545.35,136.338,185.35,46.338,2.9422,803.67,200.917,127.588,1.5747
baseline,2026-01-01 04:15:00,628.88,663.88,165.97,257.01,64.253,2.5831,999.19,249.798,157.22,1.5888
baseline,2026-01-01 04:30:00,562.56,597.56,149.391,190.65,47.662,3.1344,863.53,215.882,140.641,1.535
baseline,2026-01-01 04:45:00,646.7,681.7,170.425,257.09,64.273,2.6516,1017.89,254.473,161.675,1.574
baseline,2026-01-01 05:00:00,623.31,658.31,164.578,236.97,59.242,2.778,973.33,243.332,155.828,1.5615
baseline,2026-01-01 05:15:00,564.56,599.56,149.889,230.61,57.653,2.5999,905.57,226.393,141.139,1.604
baseline,2026-01-01 05:30:00,630.76,665.76,166.441,247.26,61.815,2.6926,991.41,247.851,157.691,1.5718
baseline,2026-01-01 05:45:00,625.8,660.8,165.199,237.45,59.363,2.7828,976.41,244.102,156.449,1.5603
baseline,2026-01-01 06:00:00,604.73,639.73,159.933,228.79,57.199,2.7961,945.74,236.435,151.183,1.5639
baseline,2026-01-01 06:15:00,618.39,653.39,163.348,218.33,54.582,2.9927,949.55,237.387,154.598,1.5355
baseline,2026-01-01 06:30:00,595.14,630.14,157.535,225.79,,2.7908,932.71,233.178,148.785,1.5672
