period,event_id,date,peak_deviation_c,duration_min
baseline,BT0001,2026-11-29,0.49,74.5
baseline,BT0002,2026-11-25,0.92,60.0
baseline,BT0003,2026-11-27,0.52,130.1
baseline,BT0004,2026-07-22,0.96,23.4
baseline,BT0005,2026-10-14,0.73,44.3
baseline,BT0006,2026-04-20,1.33,23.7
baseline,BT0007,2026-05-01,1.11,17.6
baseline,BT0008,2026-03-11,0.76,35.4
baseline,BT0009,2026-10-04,0.77,30.8
baseline,BT0010,2026-09-09,0.71,32.0
baseline,BT0011,2026-07-16,1.32,45.3
baseline,BT0012,2026-12-04,0.9,12.1
baseline,BT0013,2026-12-13,1.84,29.0
baseline,BT0014,2026-10-26,0.52,18.3
baseline,BT0015,2026-07-08,0.63,49.1
baseline,BT0016,2026-10-22,0.61,30.0
baseline,BT0017,2026-06-05,0.79,34.0
baseline,BT0018,2026-02-21,0.74,31.2
baseline,BT0019,2026-05-29,1.11,72.7
baseline,BT0020,2026-09-17,0.37,92.1
baseline,BT0021,2026-05-10,0.63,62.7
baseline,BT0022,2026-02-23,0.59,17.2
baseline,BT0023,2026-12-12,0.76,90.4
baseline,BT0024,2026-04-29,0.94,36.8
baseline,BT0025,2026-12-09,0.61,19.0
baseline,BT0026,2026-09-19,0.56,147.2
baseline,BT0027,2026-08-19,1.01,124.7
baseline,BT0028,2026-04-27,0.69,23.0
baseline,BT0029,2026-05-01,0.66,56.0
baseline,BT0030,2026-12-23,0.56,33.1
baseline,BT0031,2026-11-16,0.53,43.3
baseline,BT0032,2026-01-02,1.24,90.1
baseline,BT0033,2026-04-02,1.36,26.6
baseline,BT0034,2026-06-12,0.96,17.5
baseline,BT0035,2026-12-20,0.84,17.1
baseline,BT0036,2026-05-30,0.8,18.0
baseline,BT0037,2026-08-03,1.16,17.5
baseline,BT0038,2026-11-15,0.96,28.1
baseline,BT0039,2026-06-11,0.47,26.4
baseline,BT0040,2026-03-20,0.78,41.9
baseline,BT0041,2026-03-25,1.02,42.0
baseline,BT0042,2026-03-02,1.21,53.0
baseline,BT0043,2026-10-28,0.82,34.2
post,PT0001,2028-01-11,0.54,25.1
post,PT0002,2028-03-20,0.79,48.2
post,PT0003,2028-06-29,0.79,18.3
post,PT0004,2028-04-16,0.74,18.2
post,PT0005,2028-08-15,0.37,14.1
post,PT0006,2028-04-30,0.95,4.9
post,PT0007,2028-07-04,0.88,17.9
