period,metric,python,sql,pass
baseline,failures,13.0,13.0,True
baseline,equipment_downtime_h,121.75,121.75,True
baseline,cooling_service_availability_pct,99.94577625570776,99.94577625570776,True
baseline,degraded_redundancy_h,66.75,66.75,True
baseline,capacity_deficit_h,4.75,4.75,True
baseline,weighted_cop,2.8087159255036376,2.8087159255036367,True
baseline,paired_cop_observations,34744.0,34744.0,True
baseline,paired_cop_observation_pct,99.15525114155253,99.15525114155251,True
baseline,pue,1.5510196960681817,1.5510196960681815,True
baseline,pm_compliance_pct,72.22222222222221,72.22222222222223,True
baseline,om_cost_eur,425432.79,425432.79,True
post,failures,5.0,5.0,True
post,equipment_downtime_h,20.08,20.08,True
post,cooling_service_availability_pct,99.9943078324226,99.99430783242258,True
post,degraded_redundancy_h,15.25,15.25,True
post,capacity_deficit_h,0.5,0.5,True
post,weighted_cop,3.360726032157277,3.3607260321572765,True
post,paired_cop_observations,34864.0,34864.0,True
post,paired_cop_observation_pct,99.22586520947176,99.22586520947176,True
post,pue,1.4893530344481738,1.489353034448174,True
post,pm_compliance_pct,98.61111111111111,98.61111111111111,True
post,om_cost_eur,357924.84,357924.84,True
